Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,4.840000,5.430000,4.660000,5.240000,4.939965,65680600
2010-01-08,5.270000,5.710000,4.940000,5.590000,5.269927,60750800
2010-01-15,5.640000,5.960000,5.420000,5.460000,5.147369,47723100
2010-01-22,5.480000,5.520000,4.470000,5.140000,4.845691,69231800
2010-01-29,5.230000,6.000000,5.170000,5.490000,5.175651,65152000
2010-02-05,5.500000,6.520000,5.430000,6.320000,5.958125,72670900
2010-02-12,6.270000,7.000000,6.190000,6.730000,6.344650,55046700
2010-02-19,6.650000,7.230000,6.650000,7.080000,6.674609,48363000
2010-02-26,7.060000,7.820000,7.060000,7.320000,6.900867,58910400
2010-03-05,7.430000,8.170000,7.300000,7.840000,7.391092,43247600
2010-03-12,7.970000,8.000000,7.500000,7.500000,7.070561,33604600
2010-03-19,7.100000,7.700000,6.810000,7.370000,6.948005,31165800
2010-03-26,7.420000,7.610000,7.090000,7.400000,6.976286,19003700
2010-04-02,7.460000,7.870000,6.680000,7.550000,7.117698,83286300
2010-04-09,7.550000,7.700000,7.190000,7.410000,6.985714,66401600
2010-04-16,7.420000,7.420000,6.290000,6.470000,6.099536,72586600
2010-04-23,6.450000,7.450000,6.270000,7.330000,6.910294,89088400
2010-04-30,7.310000,7.570000,5.700000,6.390000,6.024119,63680800
2010-05-07,6.460000,7.570000,6.100000,7.240000,6.825449,53775200
2010-05-14,7.100000,7.430000,6.810000,6.840000,6.448350,60889800
2010-05-21,6.620000,8.840000,6.600000,8.740000,8.239559,84420000
2010-05-28,8.730000,9.640000,8.550000,9.210000,8.682646,51638300
2010-06-04,8.840000,9.240000,8.160000,9.160000,8.635511,56534700
2010-06-11,9.010000,10.870000,8.930000,10.740000,10.125044,66889500
2010-06-18,10.630000,10.800000,9.330000,9.570000,9.022034,45409800
2010-06-25,9.590000,9.640000,8.220000,8.650000,8.154712,39504100
2010-07-02,8.710000,9.610000,8.020000,9.540000,8.993754,36983100
2010-07-09,9.490000,9.650000,8.850000,9.110000,8.588377,33565400
2010-07-16,8.990000,9.950000,8.050000,9.850000,9.286004,65624200
2010-07-23,9.770000,11.150000,9.760000,10.660000,10.049624,46904800
2010-07-30,10.330000,11.400000,9.590000,9.640000,9.088027,61627900
2010-08-06,9.530000,9.830000,8.820000,9.230000,8.701503,36560200
2010-08-13,9.210000,9.830000,8.950000,9.190000,8.663793,25818200
2010-08-20,9.110000,9.480000,8.420000,8.640000,8.145286,31270800
2010-08-27,8.830000,9.790000,8.400000,9.650000,9.097452,34908000
2010-09-03,9.910000,10.170000,9.040000,9.110000,8.588377,19915100
2010-09-10,9.180000,9.210000,8.510000,9.120000,8.597804,34147900
